LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.292, Time: 2.724900 s
         1461196 function calls (1445815 primitive calls) in 3.254 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    72/12    0.000    0.000    0.003    0.000 core.py:3861(parseImpl)
      617    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:392(cached)
    10563    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.003    0.003 _mathtext.py:1(<module>)
        1    0.000    0.000    0.003    0.003 LebwohlLasher.py:94(savedat)
        1    0.000    0.000    0.003    0.003 __init__.py:32(__enter__)
        5    0.000    0.000    0.003    0.001 _version.py:1(<module>)
        1    0.000    0.000    0.003    0.003 platform.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _secondary_axes.py:1(<module>)
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:975(exec_module)
        1    0.000    0.000    0.003    0.003 <frozen ntpath>:1(<module>)
        1    0.000    0.000    0.003    0.003 legend.py:1(<module>)
     7318    0.003    0.000    0.003    0.000 {method 'expandtabs' of 'str' objects}
      332    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        1    0.000    0.000    0.003    0.003 font_manager.py:1(<module>)
      210    0.001    0.000    0.003    0.000 _compiler.py:509(_compile_info)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
        8    0.000    0.000    0.003    0.000 core.py:2678(__init__)
        1    0.000    0.000    0.003    0.003 pickle.py:1(<module>)
      409    0.000    0.000    0.003    0.000 rcsetup.py:307(validate_color)
  195/182    0.000    0.000    0.003    0.000 typing.py:352(inner)
       32    0.001    0.000    0.003    0.000 __init__.py:350(namedtuple)
        1    0.000    0.000    0.003    0.003 ticker.py:1(<module>)
       32    0.000    0.000    0.003    0.000 colors.py:1036(from_list)
        1    0.000    0.000    0.003    0.003 _methods.py:1(<module>)
       50    0.003    0.000    0.003    0.000 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
        1    0.000    0.000    0.003    0.003 dates.py:1(<module>)
       33    0.002    0.000    0.003    0.000 {built-in method io.open}
        1    0.000    0.000    0.003    0.003 __init__.py:240(_check_versions)
        1    0.000    0.000    0.002    0.002 datetime.py:1(<module>)
     7678    0.002    0.000    0.002    0.000 _parser.py:164(__getitem__)
     3119    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        6    0.000    0.000    0.002    0.000 __init__.py:108(import_module)
        6    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1192(_gcd_import)
        9    0.000    0.000    0.002    0.000 core.py:5392(__init__)
      707    0.001    0.000    0.002    0.000 functools.py:35(update_wrapper)
      111    0.000    0.000    0.002    0.000 rcsetup.py:88(f)
     29/8    0.000    0.000    0.002    0.000 core.py:4379(leave_whitespace)
      284    0.000    0.000    0.002    0.000 overrides.py:88(verify_matching_signatures)
     5157    0.001    0.000    0.002    0.000 _parser.py:254(get)
      409    0.000    0.000    0.002    0.000 core.py:499(copy)
      285    0.002    0.000    0.002    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.002    0.002 exceptions.py:1(<module>)
      353    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
      412    0.000    0.000    0.002    0.000 colors.py:221(is_color_like)
    32812    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
      496    0.001    0.000    0.002    0.000 enum.py:365(__setitem__)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _ufunc_config.py:1(<module>)
 1323/431    0.002    0.000    0.002    0.000 _parser.py:174(getwidth)
      356    0.001    0.000    0.002    0.000 inspect.py:786(_finddoc)
        1    0.000    0.000    0.002    0.002 units.py:1(<module>)
       28    0.001    0.000    0.002    0.000 util.py:182(_collapse_string_to_ranges)
        1    0.000    0.000    0.002    0.002 version.py:157(Version)
        1    0.000    0.000    0.002    0.002 _tricontour.py:1(<module>)
        1    0.000    0.000    0.002    0.002 spines.py:1(<module>)
      409    0.001    0.000    0.002    0.000 copy.py:66(copy)
